Name,Archtype,Level,Sacrifice,Description,ClassName,Implemented,LevelsPerCharges,Calculation,SpellLike
Sucker Punch,Unarmed Fighter,17,Armor Training 4,"At 17th level, when an unarmed fighter strikes a creature that is denied its Dexterity bonus to AC, or that he has successfully pinned with a grapple check, he can attempt a dirty trick or trip combat maneuver against that target as a swift action.",Fighter,0,,,
Sucker Punch,Unarmed Fighter,17,Armor Training 4,"At 17th level, when an unarmed fighter strikes a creature that is denied its Dexterity bonus to AC, or that he has successfully pinned with a grapple check, he can attempt a dirty trick or trip combat maneuver against that target as a swift action This ability replaces armor training 4",Fighter,,,,Ex
Sheer Toughness,Unarmed Fighter,19,Armor Mastery,"At 19th level, an unarmed fighter becomes immune to nonlethal damage and the exhausted, fatigued, and staggered conditions.",Fighter,0,,,
Sheer Toughness,Unarmed Fighter,19,Armor Mastery,"At 19th level, an unarmed fighter becomes immune to nonlethal damage and the exhausted, fatigued, and staggered conditions This ability replaces armor mastery",Fighter,,,,Ex
Weapon Mastery,Unarmed Fighter,20,Weapon Mastery,This ability applies to unarmed strikes only.,Fighter,0,,,
Weapon Mastery,Unarmed Fighter,20,,This ability applies to unarmed strikes only,Fighter,,,,Ex
Weapon and Armor Proficiency,Unbreakable,1,,An unbreakable is not proficient with tower shields,Fighter,,,,
Tough as Nails,Unbreakable,1,Bonus Feat 1,An unbreakable gains Endurance and Die Hard as bonus feats This ability replaces the fighter's 1st-level bonus feat,Fighter,,,,
Unflinching,Unbreakable,2,Bravery,"At 2nd level, an unbreakable gains a +1 bonus on Will saves against mind-affecting effects This bonus increases by +1 for every four levels after 2nd level (to a maximum of +5 at 18th level) This ability replaces bravery",Fighter,,,,Ex
Heroic Recovery,Unbreakable,5,Weapon Training 1,"At 5th level, an unbreakable gains the Heroic Recovery feat as a bonus feat, if he does not have it already If he already has this feat, the unbreakable can choose any combat feat instead In addition, he may use this feat one additional time per day for every four levels after 5th (to a maximum of 4 times per day at 17th level) This ability replaces weapon training 1",Fighter,,,,Ex
Heroic Defiance,Unbreakable,9,Weapon Training 2,"At 9th level, an unbreakable gains the Heroic Defiance feat as a bonus feat, if he does not have it already If he already has this feat, the unbreakable can choose any combat feat instead In addition, he may use this feat one additional time per day for every four levels after 9th (to a maximum of 3 times per day at 19th level) This ability replaces weapon training 2",Fighter,,,,Ex
Quick Recovery,Unbreakable,11,Armor Training 3,"At 11th level, an unbreakable needs only 15 minutes of rest or to be subject to a healing spell or effect to recover from the fatigued condition This ability replaces armor training 3",Fighter,,,,Ex
Stalwart,Unbreakable,13,Weapon Training 3,"At 13th level, when an unbreakable succeeds on a Fortitude or Will save against a spell or spell-like ability that has a partial effect even on a successful save, he is completely unaffected by it This ability replaces weapon training 3",Fighter,,,,Ex
Unlimited Endurance,Unbreakable,15,Armor Training 4,"At 15th level, when an unbreakable is exhausted, he only suffers the effects of the fatigued condition instead, but does require 1 hour of rest to reduce this condition to the actual fatigued condition This ability replaces armor training 4",Fighter,,,,Ex
Miraculous Recovery,Unbreakable,17,Weapon Training 4,"At 17th level, when an unbreakable makes a saving throw to recover from an ongoing effect, he may roll twice and choose the better roll This ability replaces weapon training 4",Fighter,,,,Ex
Unbreakable Mind,Unbreakable,20,Weapon Mastery,"At 20th level, an unbreakable becomes nearly impossible to sway with honeyed words or magic He gains immunity to mind-affecting effects This ability replaces weapon mastery",Fighter,,,,Ex
Grit,Standard Gunslinger,1,,{0} grit availiable for other abilities. Regain with crits and kills.,Gunslinger,1,,,
Gunsmith,Standard Gunslinger,1,,Gunsmithing bonus feat.,Gunslinger,1,,,
Deeds,Standard Gunslinger,1,,"Gunslingers spend grit points to accomplish deeds. Most deeds grant the gunslinger some momentary bonus or effect, but there are some that provide longer-lasting effects. Some deeds stay in effect as long as the gunslinger has at least 1 grit point. The following is the list of base gunslinger deeds. A gunslinger can only perform deeds of her level or lower. Unless otherwise noted, a deed can be performed multiple successive times, as long as the appropriate amount of grit is spent to perform the deed.",Gunslinger,1,,,
Nimble,Standard Gunslinger,2,,+(0) dodge bonus while wearing light or no armor.,Gunslinger,1,,,
Bonus Feat,Standard Gunslinger,4,,(0) bonus combat or grit feats.,Gunslinger,1,,,
Gun Training,Standard Gunslinger,5,,+{0) damage rolls when using a {1} firearm.Reduce misfire value from 4 to 2.,Gunslinger,1,,,
True Grit,Standard Gunslinger,20,,Reduces the cost of {0} by one grit. If cost is reduced to 0 then the deed can be performed free so long as the gunslinger has 1 grit point.,Gunslinger,1,,,
Animal Companion,Standard Hunter,1,,"A hunter forms a bond with an animal companion. A hunter may begin play with any of the animals listed in Animal Choices (Core Rulebook 53). This animal is a loyal companion that accompanies the hunter on her adventures. The hunter’s effective druid level is equal to her hunter level. If a character receives an animal companion from more than one source, her effective druid levels stack for the purposes of determining the statistics and abilities of the companion. If a hunter releases her companion from service or her animal companion perishes, she may gain a new one by performing a ceremony requiring 24 uninterrupted hours of prayer in the environment where the sought companion typically lives.",Hunter,0,,,
Animal Focus,Standard Hunter,1,,"a hunter can take on the aspect of an animal as a swift action, gaining a bonus or special ability based on the type of animal emulated (her animal companion also gains this benefit). Once activated, this ability lasts 1 minute. a hunter can use this ability once per day. At 4th level and every three levels thereafter, the hunter can use this ability one additional time per day. When the hunter uses this ability, she must select one type of animal to emulate. She can only emulate one animal at a time. As long as the ability is still active, she can change this aspect to another animal as a swift action.",Hunter,0,,,
Chaotic Evil Good and Lawful Spells,Standard Hunter,1,,"haotic, Evil, Good, and Lawful Spells: A hunter can’t cast spells of an alignment opposed to her own or her deity’s (if she has one). Spells associated with particular alignments are indicated by the chaos, evil, good, and law descriptors in their spell descriptions. Orisons: Hunters can prepare a number of orisons, or 0-level spells, each day, as noted on Table 1–6 under “Spells per Day.” These spells are cast like any other spell, but they are not expended when cast and may be used again.",Hunter,0,,,
Spells,Standard Hunter,1,,"A hunter casts divine spells, which are drawn from the druid spell list (see Chapter 10 of the Pathfinder RPG Core Rulebook). Only druid spells of 6th level and lower are considered on the hunter spell list. Her alignment may restrict her from casting certain spells opposed to her moral or ethical beliefs; see Chaotic, Evil, Good, and Lawful Spells. A hunter must choose and prepare her spells in advance. A hunter’s highest level of spells is 6th. A hunter cannot use spell completion or spell trigger magic items (without making a successful Use Magic Device check) of druid spells of 7th level or higher To prepare or cast a spell, the hunter must have a Wisdom score equal to at least 10 + the spell level. The Difficulty Class for a saving throw against a hunter’s spell is 10 + the spell level + the hunter’s Wisdom modifier. Like other spellcasters, a hunter can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 1–6. In addition, she receives bonus spells per day if she has a high Wisdom score (Core Rulebook 17). A hunter must spend 1 hour each day in a trance-like meditation on the mysteries of nature to regain her daily allotment of spells. A hunter may prepare and cast any spell on the hunter spell list, provided that she can cast spells of that level, but she must choose which spells to prepare during her daily meditation.",Hunter,0,,,
Weapon And Armor Proficiency,Standard Hunter,1,,"Hunters are proficient with all simple weapons plus the longbow, scimitar, scythe, and shortbow. Hunters are proficient with light and medium armor but are prohibited from wearing heavy armor. Hunters are proficient with shields (except tower shields), but must use only those crafted from wood. A hunter who wears prohibited armor or uses a prohibited shield is unable to cast hunter spells or use any of her supernatural or spell-like class abilities while doing so and for 24 hours thereafter.",Hunter,0,,,
Track,Standard Hunter,2,,hunter adds half her level to Survival skill checks made to follow tracks.,Hunter,0,,,
Wild Empathy,Standard Hunter,2,,"The hunter can improve the initial attitude of an animal. This ability functions just like a Diplomacy check to improve the attitude of a person (see Chapter 4 of the Core Rulebook). The hunter rolls 1d20 and adds her hunter level and her Charisma bonus to determine the wild empathy check result. The typical domestic animal has a starting attitude of indifferent, while wild animals are usually unfriendly. To use wild empathy, the hunter and the animal must be within 30 feet of one another under normal visibility conditions. Generally, inf luencing an animal in this way takes 1 minute, but as with inf luencing people, it might take more or less time. The hunter can also use this ability to inf luence a magical beast with an Intelligence score of 1 or 2, but she takes a –4 penalty on the check.",Hunter,0,,,
Hunter Tactics,Standard Hunter,3,,the hunter’s animal companion is treated as if it possessed the same teamwork feats as the hunter for the purpose of determining whether the hunter or the companion receives a bonus from her teamwork feats. The hunter’s and companion’s positioning and actions must still meet the prerequisites listed in the teamwork feat for them to receive the listed bonus.,Hunter,0,,,
Teamwork Feat,Standard Hunter,3,,"and every three levels thereafter, the hunter gains a bonus teamwork feat in addition to those gained from normal advancement. The hunter must meet the prerequisites of the selected bonus feat. As a standard action, the hunter can choose to learn a new bonus teamwork feat in place of the most recent bonus teamwork feat she has already learned. In effect, the hunter loses the bonus feat in exchange for the new one. She can only change the most recent teamwork feat gained, and must meet the prerequisites for the newly selected feat. A hunter can change her most recent teamwork feat a number of times per day equal to her Wisdom modifier. Whenever she gains a new teamwork feat, the previous teamwork feat becomes permanent.",Hunter,0,,,
